,1,2,3,4,Class
5,5.4,3.9,1.7,0.4,Iris-setosa
73,6.1,2.8,4.7,1.2,Iris-versicolor
137,6.4,3.1,5.5,1.8,Iris-virginica
50,7.0,3.2,4.7,1.4,Iris-versicolor
51,6.4,3.2,4.5,1.5,Iris-versicolor
81,5.5,2.4,3.7,1.0,Iris-versicolor
93,5.0,2.3,3.3,1.0,Iris-versicolor
2,4.7,3.2,1.3,0.2,Iris-setosa
39,5.1,3.4,1.5,0.2,Iris-setosa
78,6.0,2.9,4.5,1.5,Iris-versicolor
90,5.5,2.6,4.4,1.2,Iris-versicolor
89,5.5,2.5,4.0,1.3,Iris-versicolor
1,4.9,3.0,1.4,0.2,Iris-setosa
71,6.1,2.8,4.0,1.3,Iris-versicolor
38,4.4,3.0,1.3,0.2,Iris-setosa
26,5.0,3.4,1.6,0.4,Iris-setosa
58,6.6,2.9,4.6,1.3,Iris-versicolor
35,5.0,3.2,1.2,0.2,Iris-setosa
27,5.2,3.5,1.5,0.2,Iris-setosa
41,4.5,2.3,1.3,0.3,Iris-setosa
45,4.8,3.0,1.4,0.3,Iris-setosa
46,5.1,3.8,1.6,0.2,Iris-setosa
112,6.8,3.0,5.5,2.1,Iris-virginica
102,7.1,3.0,5.9,2.1,Iris-virginica
62,6.0,2.2,4.0,1.0,Iris-versicolor
97,6.2,2.9,4.3,1.3,Iris-versicolor
94,5.6,2.7,4.2,1.3,Iris-versicolor
66,5.6,3.0,4.5,1.5,Iris-versicolor
23,5.1,3.3,1.7,0.5,Iris-setosa
143,6.8,3.2,5.9,2.3,Iris-virginica
61,5.9,3.0,4.2,1.5,Iris-versicolor
11,4.8,3.4,1.6,0.2,Iris-setosa
8,4.4,2.9,1.4,0.2,Iris-setosa
84,5.4,3.0,4.5,1.5,Iris-versicolor
20,5.4,3.4,1.7,0.2,Iris-setosa
131,7.9,3.8,6.4,2.0,Iris-virginica
17,5.1,3.5,1.4,0.3,Iris-setosa
40,5.0,3.5,1.3,0.3,Iris-setosa
12,4.8,3.0,1.4,0.1,Iris-setosa
49,5.0,3.3,1.4,0.2,Iris-setosa
80,5.5,2.4,3.8,1.1,Iris-versicolor
115,6.4,3.2,5.3,2.3,Iris-virginica
56,6.3,3.3,4.7,1.6,Iris-versicolor
141,6.9,3.1,5.1,2.3,Iris-virginica
85,6.0,3.4,4.5,1.6,Iris-versicolor
36,5.5,3.5,1.3,0.2,Iris-setosa
122,7.7,2.8,6.7,2.0,Iris-virginica
145,6.7,3.0,5.2,2.3,Iris-virginica
52,6.9,3.1,4.9,1.5,Iris-versicolor
37,4.9,3.6,1.4,0.1,Iris-setosa
3,4.6,3.1,1.5,0.2,Iris-setosa
142,5.8,2.7,5.1,1.9,Iris-virginica
88,5.6,3.0,4.1,1.3,Iris-versicolor
148,6.2,3.4,5.4,2.3,Iris-virginica
96,5.7,2.9,4.2,1.3,Iris-versicolor
47,4.6,3.2,1.4,0.2,Iris-setosa
72,6.3,2.5,4.9,1.5,Iris-versicolor
121,5.6,2.8,4.9,2.0,Iris-virginica
101,5.8,2.7,5.1,1.9,Iris-virginica
86,6.7,3.1,4.7,1.5,Iris-versicolor
33,5.5,4.2,1.4,0.2,Iris-setosa
74,6.4,2.9,4.3,1.3,Iris-versicolor
147,6.5,3.0,5.2,2.0,Iris-virginica
136,6.3,3.4,5.6,2.4,Iris-virginica
130,7.4,2.8,6.1,1.9,Iris-virginica
133,6.3,2.8,5.1,1.5,Iris-virginica
91,6.1,3.0,4.6,1.4,Iris-versicolor
9,4.9,3.1,1.5,0.1,Iris-setosa
103,6.3,2.9,5.6,1.8,Iris-virginica
104,6.5,3.0,5.8,2.2,Iris-virginica
31,5.4,3.4,1.5,0.4,Iris-setosa
24,4.8,3.4,1.9,0.2,Iris-setosa
6,4.6,3.4,1.4,0.3,Iris-setosa
134,6.1,2.6,5.6,1.4,Iris-virginica
110,6.5,3.2,5.1,2.0,Iris-virginica
55,5.7,2.8,4.5,1.3,Iris-versicolor
59,5.2,2.7,3.9,1.4,Iris-versicolor
7,5.0,3.4,1.5,0.2,Iris-setosa
106,4.9,2.5,4.5,1.7,Iris-virginica
140,6.7,3.1,5.6,2.4,Iris-virginica
117,7.7,3.8,6.7,2.2,Iris-virginica
98,5.1,2.5,3.0,1.1,Iris-versicolor
99,5.7,2.8,4.1,1.3,Iris-versicolor
69,5.6,2.5,3.9,1.1,Iris-versicolor
18,5.7,3.8,1.7,0.3,Iris-setosa
111,6.4,2.7,5.3,1.9,Iris-virginica
108,6.7,2.5,5.8,1.8,Iris-virginica
4,5.0,3.6,1.4,0.2,Iris-setosa
83,6.0,2.7,5.1,1.6,Iris-versicolor
116,6.5,3.0,5.5,1.8,Iris-virginica
123,6.3,2.7,4.9,1.8,Iris-virginica
25,5.0,3.0,1.6,0.2,Iris-setosa
16,5.4,3.9,1.3,0.4,Iris-setosa
126,6.2,2.8,4.8,1.8,Iris-virginica
124,6.7,3.3,5.7,2.1,Iris-virginica
44,5.1,3.8,1.9,0.4,Iris-setosa
92,5.8,2.6,4.0,1.2,Iris-versicolor
70,5.9,3.2,4.8,1.8,Iris-versicolor
82,5.8,2.7,3.9,1.2,Iris-versicolor
79,5.7,2.6,3.5,1.0,Iris-versicolor
29,4.7,3.2,1.6,0.2,Iris-setosa
64,5.6,2.9,3.6,1.3,Iris-versicolor
125,7.2,3.2,6.0,1.8,Iris-virginica
107,7.3,2.9,6.3,1.8,Iris-virginica
13,4.3,3.0,1.1,0.1,Iris-setosa
28,5.2,3.4,1.4,0.2,Iris-setosa
75,6.6,3.0,4.4,1.4,Iris-versicolor
87,6.3,2.3,4.4,1.3,Iris-versicolor
15,5.7,4.4,1.5,0.4,Iris-setosa
32,5.2,4.1,1.5,0.1,Iris-setosa
109,7.2,3.6,6.1,2.5,Iris-virginica
118,7.7,2.6,6.9,2.3,Iris-virginica
128,6.4,2.8,5.6,2.1,Iris-virginica
53,5.5,2.3,4.0,1.3,Iris-versicolor
0,5.1,3.5,1.4,0.2,Iris-setosa
57,4.9,2.4,3.3,1.0,Iris-versicolor
54,6.5,2.8,4.6,1.5,Iris-versicolor
14,5.8,4.0,1.2,0.2,Iris-setosa
113,5.7,2.5,5.0,2.0,Iris-virginica
67,5.8,2.7,4.1,1.0,Iris-versicolor
